#,Name of Scheme,Description,Level,Benefit,Target Group,Conditional Cases / Eligibility,Nodal Agency/Implementation
"I. CENTRAL SCHEMES: FINANCE, CREDIT & EQUITY",,,,,,,
1,Pradhan Mantri Mudra Yojana (PMMY),Collateral-free loans for income-generating micro-enterprises.,National,"Loan up to ₹10 Lakh (Shishu, Kishor, Tarun).","Non-Corporate, Non-Farm Micro Enterprises",Must be Udyam registered; no formal collateral required.,Banks/NBFCs/MFIs
2,Credit Guarantee Scheme for MSEs (CGTMSE),Provides collateral-free credit guarantee to banks against loans extended to MSEs.,National,Guarantee cover up to ₹5 Crore (85% coverage for Micro loans up to ₹5 Lakh).,New & Existing Micro & Small Enterprises (MSEs),Udyam registered; includes Term Loans & Working Capital.,CGTMSE/SIDBI
3,2% Interest Subvention Scheme,Interest relief on fresh or incremental working capital/term loans.,National,2% per annum interest subsidy on loans up to ₹1 Crore.,Manufacturing & Service MSMEs,Must have Udyam Registration; excludes those availing other interest subsidies.,SIDBI/Banks
4,Stand Up India Scheme,Promotes entrepreneurship by facilitating composite loans for greenfield projects.,National,Composite loan ₹10 Lakh to ₹1 Crore.,Women and SC/ST Entrepreneurs (51% stake),Must be a greenfield project; applicant not in default to any bank.,SIDBI/Scheduled Commercial Banks
5,Prime Minister's Employment Generation Programme (PMEGP),Credit-linked subsidy for setting up new micro-enterprises.,National,Capital Subsidy (Margin Money) of 15% to 35% of the project cost.,"New Entrepreneurs, Unemployed Youth, SHGs",8th pass for projects >₹5 Lakh (Service) / >₹10 Lakh (Mfg).,KVIC/State KVIC/DIC
6,PMEGP - Second Loan for Upgradation,Financial assistance for expansion/upgradation of successful existing PMEGP units.,National,Max subsidy 15% of project cost (Max. ₹15 Lakh).,Existing PMEGP/REGP/MUDRA units,First loan must be fully repaid and unit performing well.,KVIC/Banks
7,SRI Fund (Self Reliant India Fund),Provides equity and growth capital through a Fund of Funds.,National,Equity/Venture Capital funding for scale-up.,MSMEs with high growth potential,Selected by the fund managers/Mother Fund.,NSIC/SIDBI Venture Capital Fund
8,Credit Guarantee Scheme for Subordinate Debt (CGSSD),Supports promoters of distressed MSMEs for equity infusion.,National,Guarantee for Subordinate Debt up to ₹7.5 Crore (Max. 15% of promoter's contribution).,Stressed/NPA MSMEs,Account must be NPA/SMA-2 as of March 2020.,CGTMSE/Banks
9,Startup India Seed Fund Scheme (SISFS),Provides early-stage financial assistance to innovative startups.,National,Grant up to ₹20 Lakh (PoC) or Investment up to ₹50 Lakh (Commercialization).,DPIIT-Recognized Startups,Incorporated less than 2 years ago; should not have received >₹10 Lakh in monetary support from other schemes.,DPIIT/Approved Incubators
II. CENTRAL SCHEMES: TECHNOLOGY & COMPETITIVENESS,,,,,,,
10,Credit Linked Capital Subsidy Scheme (CLCSS),Capital subsidy on loans for technology modernization.,National,15% upfront subsidy on loan up to ₹1 Crore (Max. ₹15 Lakh).,Micro & Small Enterprises (MSEs),Loan must be for the induction of approved and proven technology.,DC-MSME/SIDBI
11,MSME-Sustainable (ZED) Certification - Gold,"Certification to promote Zero Defect, Zero Effect practices (Highest Level).",National,50% subsidy on certification cost. (Additional 10% for Women/SC/ST/NER).,MSMEs,Must pass Gold-level criteria; Udyam registration required.,QCI/DC-MSME
12,MSME-Sustainable (ZED) Certification - Silver,Certification for good manufacturing and quality systems.,National,60% subsidy on certification cost. (Additional 10% for Women/SC/ST/NER).,MSMEs,Must pass Silver-level criteria; Udyam registration required.,QCI/DC-MSME
13,MSME-Sustainable (ZED) Certification - Bronze,Certification for essential quality parameters.,National,80% subsidy on certification cost. (Additional 10% for Women/SC/ST/NER).,Micro Enterprises (Prioritized),Must pass Bronze-level criteria; Udyam registration required.,QCI/DC-MSME
14,MSME Competitive (LEAN) Scheme - Basic,Support for adopting Lean Manufacturing techniques for waste reduction.,National,GoI covers a significant portion of consultancy/implementation costs.,Manufacturing MSMEs,Must have Udyam Registration and take the LEAN pledge.,DC-MSME/LMCCs
15,MSME Innovative Scheme - Incubation Component,Financial support for nurturing and commercializing innovative ideas.,National,Grant up to ₹15 Lakh per idea.,"MSMEs, Individual Innovators, Students",Idea must be approved by the Host Institute (HI).,DC-MSME/Host Institutes
16,MSME Innovative Scheme - Design Component (Project),Support for product/process design projects with design consultants.,National,GoI contribution up to ₹40 Lakh (Max 60% of project cost).,MSMEs,Project must be approved by the steering committee.,DC-MSME/Design Implementing Agencies
17,MSME Innovative Scheme - IPR (Foreign Patent),Financial assistance for Intellectual Property Rights registration in foreign markets.,National,Reimbursement up to ₹5 Lakh for foreign patents.,MSMEs,Must have Udyam Registration; IPR must be registered.,DC-MSME
18,ISO/Quality Certification Reimbursement,"Reimbursement for acquiring international quality/environment certifications (e.g., ISO 9000, ISO 14001, HACCP).",National,"One-time 75% reimbursement of certification expenses (Max. ₹75,000).",Registered MSEs,Certification must be from an NABCB-accredited body.,DC-MSME
19,Performance and Credit Rating Scheme,Subsidizes the cost of obtaining a credit rating from accredited agencies.,National,Subsidy up to 75% of the rating fee.,MSEs,"Rating done by accredited agencies (e.g., CRISIL, CARE).",NSIC/Accredited Agencies
III. CENTRAL SCHEMES: MARKETING & PROCUREMENT,,,,,,,
20,Public Procurement Policy - Mandatory Procurement,Mandates procurement from the MSE sector by Government Ministries/CPSUs.,National,25% mandatory annual procurement from MSEs (including sub-targets for SC/ST and Women).,MSEs registered under NSIC's SPRS,Must be a registered MSE.,All Central Ministries/CPSUs
21,Public Procurement Policy - Price Preference,Provides a price edge in bidding for government contracts.,National,15% price preference over non-MSE bidders (if within L1+15% price band).,MSEs registered under NSIC's SPRS,Applies to government tenders/bidding.,All Central Ministries/CPSUs
